,date,Last,high,low,open,volume
0,2017-11-17 00:00:00+05:30,344.6,369,307,310,168836552
1,2017-11-20 00:00:00+05:30,355.35,358.9,344,344.7,14650240
2,2017-11-21 00:00:00+05:30,385.3,418.9,352.5,356.4,43078194
3,2017-11-22 00:00:00+05:30,395.2,408,386.9,388,15227642
4,2017-11-23 00:00:00+05:30,374.85,392,371.1,390,12300150
5,2017-11-24 00:00:00+05:30,370.7,383,366.1,376.05,9463228
6,2017-11-27 00:00:00+05:30,380.35,384.5,371,371,3832223
7,2017-11-28 00:00:00+05:30,382.2,386.4,378.1,383,2409447
8,2017-11-29 00:00:00+05:30,377.8,384.7,376.1,382.4,1657909
9,2017-11-30 00:00:00+05:30,371.5,379.8,370.8,379.8,2536960
10,2017-12-01 00:00:00+05:30,372.75,379.55,368,373.7,1904781
11,2017-12-04 00:00:00+05:30,362.8,374.9,362,374.05,1323453
12,2017-12-05 00:00:00+05:30,362.35,365.9,357.15,361,1806017
13,2017-12-06 00:00:00+05:30,368.35,371.7,358.55,360.9,3331373
14,2017-12-07 00:00:00+05:30,388.3,389.9,370.05,370.05,3350792
15,2017-12-08 00:00:00+05:30,389.3,395.8,385.6,390,2494845
16,2017-12-11 00:00:00+05:30,380.8,392.25,379.05,387,1029719
17,2017-12-12 00:00:00+05:30,383.8,387,377.05,380.9,2564559
18,2017-12-13 00:00:00+05:30,380.8,389.25,378.5,386.45,747787
19,2017-12-14 00:00:00+05:30,384.3,386,377,382.85,1261422
20,2017-12-15 00:00:00+05:30,381.4,390.75,380.1,388,1698848
21,2017-12-18 00:00:00+05:30,377.45,383.3,372.25,380,1399027
22,2017-12-19 00:00:00+05:30,374.9,380.95,372.25,378,1641589
23,2017-12-20 00:00:00+05:30,375.15,377.7,371.5,377.45,2251770
24,2017-12-21 00:00:00+05:30,376.05,381.8,375,379.25,1448962
25,2017-12-22 00:00:00+05:30,374.55,380.4,374.2,376.25,775946
26,2017-12-26 00:00:00+05:30,376.55,378.6,373.4,376,1310649
27,2017-12-27 00:00:00+05:30,374.85,377.95,373.8,375.1,589597
