"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)",VALUE ,"52W H 
","52W L 
","365 D % CHNG 
 24-Feb-2022","30 D % CHNG 
 25-Jan-2023",PE RATIO,EPS,MCAP,PB RATIO,DIV YIELD,FACE VALUE,DATE
ADANIENT,"1,424.00","1,580.00","1,411.00","1,363.85","1,579.00",215.15,15.78,20114340,"30,40,02,10,045.80","4,190.00","1,017.45",-17.06,-50.61,106.1,23.49,"2,83,717.00",7.45,0.05,1,24-02-2022
ADANIPORTS,598,616,594.6,592.45,601.7,9.25,1.56,18661166,"11,30,04,55,682.96",987.85,395.1,-16.26,-0.75,27.22,29.01,169916,3.61,0.63,2,25-02-2022
APOLLOHOSP,"4,401.65","4,446.00","4,337.25","4,401.65","4,405.00",3.35,0.08,287008,"1,26,49,13,137.92","5,016.55","3,361.55",-8.35,3.71,87.21,56.97,"71,731.29",11.06,0.3,5,24-02-2022
ASIANPAINT,"2,828.00","2,853.30","2,816.05","2,828.80","2,844.00",15.2,0.54,816598,"2,31,71,78,484.80","3,582.90","2,560.00",-10.89,3.9,68.61,48.37,"3,19,216.00",19.53,0.77,1,26-02-2022
AXISBANK,846.05,868.75,845.05,844.1,864.4,20.3,2.4,12345125,"10,64,79,17,215.00",970,618.25,13.7,-3.39,23.23,40.68,"2,91,389.00",2.26,0.11,2,25-02-2022
BAJAJ-AUTO,"3,670.00","3,748.35","3,636.90","3,661.20","3,707.10",45.9,1.25,432887,"1,60,73,35,404.22","4,131.75","3,125.00",3.71,-7,20.12,231.17,"1,31,716.00",4.48,3.01,10,26-02-2022
BAJAJFINSV,"1,335.70","1,360.00","1,334.90","1,334.90","1,346.00",11.1,0.83,1134472,"1,52,99,94,318.08","1,844.00","1,072.72",-91.66,1.58,34.15,44.26,"2,39,981.00",3.11,0.05,1,24-02-2022
BAJFINANCE,"6,100.10","6,203.95","6,100.10","6,112.10","6,156.00",43.9,0.72,544804,"3,36,14,95,160.40","7,778.00","5,220.00",-12.71,6.1,34.94,203.8,"4,31,068.00",7.99,0.42,2,26-02-2022
BHARTIARTL,742.4,753.45,741,742.25,750,7.75,1.04,3744982,"2,79,99,35,792.30",860.55,628.75,8.12,-4.16,63.89,13.98,"5,33,826.00",4.97,0.45,5,24-02-2022
BPCL,316.8,321,315.55,317.35,316,-1.35,-0.43,3495717,"1,11,07,64,076.75",398.8,288.05,-9.28,-5.7,4.13,87.23,78.093.10,1.45,1.11,10,26-02-2022
BRITANNIA,"4,439.00","4,454.55","4,355.15","4,461.75","4,380.00",-81.75,-1.83,331092,"1,45,08,55,076.76","4,669.20","3,050.00",30.18,1.86,45.5,101.38,"1,11,039.00",31.12,1.57,1,25-02-2022
CIPLA,907.8,910.25,896,906.4,899.9,-6.5,-0.72,3496231,"3,15,26,56,379.63","1,185.25",896,-2.02,-13.45,32.63,38.49,"1,01,401.00",4.31,0.68,2,24-02-2022
COALINDIA,215.4,219,214.5,215.4,218.8,3.4,1.58,4510175,"97,96,55,111.75",263.4,160.55,27.04,-3.15,5.27,44.3,"1,42,675.00",2.45,10.39,10,26-02-2022
DIVISLAB,"2,836.50","2,857.00","2,823.00","2,825.60","2,846.00",20.4,0.72,154311,"43,80,65,782.35","4,640.80","2,740.10",-33.75,-16.59,54.28,68.69,"99,364.89",8,0.8,2,24-02-2022
DRREDDY,"4,316.45","4,357.15","4,297.00","4,316.60","4,352.00",35.4,0.82,199103,"86,23,38,985.36","4,645.00","3,654.00",6.23,0.06,20.61,283.58,"96,958.62",4.05,0.68,5,25-02-2022
EICHERMOT,"3,106.00","3,143.90","3,086.70","3,105.90","3,140.50",34.6,1.11,522394,"1,62,63,01,328.98","3,889.65","2,159.55",19.93,-2.01,28.73,117.72,"91,895.88",6.16,1.09,1,26-02-2022
GRASIM,"1,568.00","1,598.00","1,568.00","1,578.55","1,595.00",16.45,1.04,286958,"45,53,59,302.30","1,839.50","1,276.60",-1.25,0.01,17.66,103.69,"1,20,503.00",0.64,0.55,2,24-02-2022
HCLTECH,"1,077.35","1,104.00","1,077.35","1,077.60","1,100.00",22.4,2.08,1655100,"1,81,29,46,887.00","1,215.00",877.35,-4.38,-3.41,20.45,55.65,"3,08,014.00",4.74,4.22,2,25-02-2022
